Rank,Title,Score,Chapters/Volumes,Published
14872,Maou no Mama ni Naru n da yo!,6.28,Manga (? vols),Dec 2017 -
14873,Risou no Musume nara Sekai Saikyou demo Kawaigatte Kuremasu ka?,6.28,Manga (? vols),Mar 2019 -
14874,Otome Bare,6.28,Manga (5 vols),Feb 2018 - Jun 2021
14875,Hagure Seireii no Shinsatsu Kiroku: Seijo Kishidan to Iyashi no Kamiwaza,6.28,Manga (? vols),Dec 2018 -
14876,Koi ka Mahou ka Wakaranai!,6.28,Manga (4 vols),Dec 2020 - Jul 2021
14877,Italia-jin no Onnanoko ga Isourou suru Koto ni Natta,6.28,Manga (3 vols),Dec 2020 - Jan 2022
14878,Trick or Kiss,6.28,One-shot (? vols),Aug 2015 - Aug 2015
14879,Isekai wo Seigyo Mahou de Kirihirake!,6.28,Manga (4 vols),Mar 2016 - Dec 2019
14880,Kemono no Joou,6.28,Manga (1 vols),Dec 2013 - Dec 2013
14881,Ren-chin Girl,6.28,One-shot (? vols),Aug 2017 - Aug 2017
14882,Ai: Hikari to Mizu no Daphne,6.28,Manga (1 vols),Jul 2004 - Jul 2004
14883,Hitomi: The Vision of Escaflowne,6.28,Manga (2 vols),Apr 1996 - Jan 2007
14884,The Story of the Gatekeeper,6.28,Manhwa (? vols),-
14885,Gekkou Denchi Shiki Ningyou Gekijou,6.28,Doujinshi (1 vols),Aug 2004 - Aug 2004
14886,Ringo,6.28,Manga (3 vols),Mar 1997 - 1998
14887,UFO Robo Grendizer,6.28,Manga (1 vols),Oct 1975 - May 1976
14888,Dennou Coil,6.28,Manga (1 vols),Nov 2007 - Nov 2007
14889,Sparkle x Sparkle,6.28,Manhwa (3 vols),Sep 2008 - Oct 2009
14890,Brain Powerd,6.27,Manga (4 vols),Nov 1997 - Oct 2000
14891,Gate Keepers,6.27,Manga (2 vols),Dec 1999 - Oct 2001
14892,Okusama wa Joshikousei,6.27,Manga (13 vols),Jan 2001 - Mar 2007
14893,Otoko wa Ookami na no yo?,6.27,One-shot (? vols),-
14894,Let's Bible!,6.27,Manga (? vols),Dec 2005 - Jun 2008
14895,Kanojo to Natsu to Boku,6.27,One-shot (? vols),2006 - 2006
14896,Princess Hanaka,6.27,Manga (1 vols),2007 -
14897,Kaiki Romanesque Gekiga: Skull Man,6.27,Manga (1 vols),Jan 1970 - Jan 1970
14898,Ai Girl,6.27,Manga (4 vols),2003 -
14899,Whispers Under the Roses,6.27,One-shot (? vols),-
14900,Aratama Tribe,6.27,Manga (1 vols),Jul 2007 - Jul 2007
14901,Trouble in the Classroom,6.27,One-shot (? vols),-
14902,Hyakka Teien no Higeki,6.27,Manga (1 vols),1984 - 1984
14903,Bunny♡Café,6.27,One-shot (? vols),Apr 2011 - Apr 2011
14904,Nanako-san-teki na Nichijou Dash!!,6.27,Manga (3 vols),Dec 2011 - Dec 2013
14905,Folk Tail no Tonakai,6.27,One-shot (? vols),2009 - 2009
14906,Itaitashii Love,6.27,Manga (1 vols),1995 - 1995
14907,Oyaju Rider,6.27,One-shot (? vols),2009 - 2009
14908,Grape☆Pine,6.27,Manga (1 vols),2009 - 2009
14909,Sekai Seifuku Sekirara Jogakukan,6.27,Manga (3 vols),Dec 2007 - Nov 2009
14910,Paper Plane Play,6.27,One-shot (? vols),-
14911,Uragiri no Butoukai,6.27,Manga (1 vols),2009 - 2009
14912,Dreaming: Fairy Tale of Dream,6.27,One-shot (? vols),2008 - 2008
14913,Murahagane,6.27,One-shot (? vols),Aug 2011 - Aug 2011
14914,Orlelian no Kishi Hime,6.27,Manga (1 vols),Apr 2009 - Aug 2009
14915,Bloomed in Action,6.27,Manga (1 vols),Sep 2011 - Sep 2011
14916,Pierce,6.27,One-shot (? vols),Jan 1998 - Jan 1998
14917,It Vorspiel,6.27,Manga (? vols),Mar 2012 - May 2012
14918,Zankoku na Sankoku,6.27,Manga (1 vols),2008 - 2008
14919,Dragon Ball Heroes: Victory Mission,6.27,Manga (? vols),Sep 2012 -
14920,Tomodachi Nanka Iranai,6.27,One-shot (? vols),Nov 2011 - Nov 2011
14921,Boku no Chi de Yokereba,6.27,Manga (2 vols),Jul 2012 - Oct 2014
14922,Mutou Black,6.27,Manga (2 vols),May 2013 - Aug 2013
14923,Daikousha Nagi,6.27,Manga (2 vols),Aug 2015 - Apr 2016
14924,1-nengo no Haru,6.27,One-shot (? vols),Apr 2014 - Apr 2014
14925,Seifuku Kekkon,6.27,Manga (1 vols),Jul 2016 - Dec 2016
14926,Mad Chimera World,6.27,Manga (4 vols),Apr 2017 - Jan 2019
14927,Oni Futatsu,6.27,Manga (2 vols),Apr 2017 - May 2018
14928,Batman and the Justice League,6.27,Manga (4 vols),Jun 2017 - May 2019
14929,Taberu dake de Level Up!: Damegami to Issho ni Isekai Musou,6.27,Manga (? vols),Apr 2018 -
14930,Ponkotsundere na Osananajimi,6.27,Manga (? vols),Mar 2016 -
14931,Monwres: Ishu Kakutou Monster Musume,6.27,Manga (4 vols),Oct 2017 - Oct 2020
14932,Isekai Munchkin: HP1 no Mama de Saikyou Saisoku Dungeon Kouryaku,6.27,Manga (? vols),Feb 2019 -
14933,Douyara Boku no Hanayome wa Onna Kishidan na You de.,6.27,Manga (? vols),Oct 2019 -
14934,Yamada to Sensei,6.27,Manga (2 vols),Dec 2019 - Aug 2020
14935,Futoku no Guild,6.26,Manga (? vols),Jun 2017 -
14936,Kyoukai Meikyuu to Ikai no Majutsushi,6.26,Manga (? vols),Jun 2018 -
14937,Suterare Yuusha wa Kitakuchuu,6.26,Manga (? vols),Oct 2018 -
14938,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,6.26,Manga (? vols),Apr 2018 -
14939,Mujintou de Elf to Kyoudou Seikatsu @comic,6.26,Manga (? vols),Jan 2019 -
14940,Mitama Security,6.26,Manga (5 vols),Sep 2019 - Aug 2020
14941,Shousetsu Toukou Site wo Riyou shiteitara Class no Heroine ga Dokusha Datta,6.26,Manga (2 vols),Mar 2019 - May 2020
14942,Oshi no Idol ga Tonari no Heya ni Hikkoshitekita,6.26,Manga (? vols),Jul 2019 -
14943,Ore no Tomodachi♂♀ ga Kawaisugite Komaru!,6.26,Manga (? vols),Mar 2019 -
14944,Seisan-shoku wo Kiwamesugitara Densetsu no Buki ga Ore no Yome ni Narimashita,6.26,Manga (? vols),Apr 2020 -
14945,Seiya, Mayoeru Kohitsuji ni,6.26,One-shot (? vols),Nov 2010 - Nov 2010
14946,Koisuru Sha Girl,6.26,One-shot (? vols),2013 - 2013
14947,1,6.26,Manga (1 vols),Jan 1993 - Jun 1993
14948,Ao no Haha,6.26,Manga (4 vols),Mar 2014 - May 2016
14949,Irotoridori no,6.26,One-shot (? vols),Dec 2011 - Dec 2011
14950,Tsugihagi na Kanojo,6.26,Manga (? vols),Feb 2013 - Apr 2013
14951,Ouji-sama no Kanojo,6.26,Manga (1 vols),Nov 2005 - Apr 2006
14952,Kamakiri Onna,6.26,Manga (1 vols),2003 - 2003
14953,Jamais Vu,6.26,One-shot (? vols),2008 - 2008
14954,Binkan Kiss,6.26,Manga (1 vols),Aug 2005 - Aug 2005
14955,Triple Complex!!!,6.26,Manga (1 vols),Jan 2008 - Mar 2008
14956,Schoolmate,6.26,Manga (4 vols),Jun 2006 - Jan 2012
14957,Appli Trap,6.26,Manga (2 vols),Mar 2015 - Feb 2016
14958,Mushihime,6.26,Manga (3 vols),May 2013 - Jul 2015
14959,Paranoia Cage,6.26,Manga (? vols),Dec 2013 -
14960,Tenohira ni Ai wo!,6.26,Manga (5 vols),Aug 2016 - Oct 2017
14961,Tourin,6.26,One-shot (? vols),2010 - 2010
14962,8♀1♂,6.26,Manga (9 vols),Jun 2012 - Jan 2015
14963,Gaku☆Ou: The Twinkle Star Story,6.26,Manga (1 vols),Oct 2012 - Mar 2013
14964,Majo no Koi wa Kindan to Haitoku de Tsukurareru,6.26,Manga (1 vols),-
14965,Magicalize,6.26,Manga (4 vols),Oct 2012 - Nov 2014
14966,Spicy Spies,6.25,Manga (1 vols),2009 - 2009
14967,Banana no Nana,6.25,Manga (2 vols),Mar 2010 - May 2011
14968,Fuku Neko,6.25,Manga (1 vols),Jun 2009 - Jun 2009
14969,Choukyoushi,6.25,Manga (1 vols),2003 - 2003
14970,Kinmokusei no Hana-tachi,6.25,One-shot (? vols),Apr 2008 - Apr 2008
14971,Gengenji,6.25,One-shot (? vols),-
14972,Mizu no Iro Gin no Tsuki,6.25,Manga (1 vols),Jul 2005 - Jun 2006
14973,Kokoro Rental,6.25,One-shot (? vols),2011 - 2011
14974,Boku to Boku,6.25,Manga (2 vols),Feb 2012 - Feb 2014
14975,Tama ni Onegai!,6.25,One-shot (? vols),Jan 2011 - Jan 2011
14976,Kiratto!☆Yell,6.25,One-shot (? vols),2012 - 2012
14977,Iczer Densetsu,6.25,Manga (1 vols),1988 - 1988
14978,Kinoko Ningen no Kekkon,6.25,Manga (1 vols),Oct 2013 - Aug 2014
14979,Murder Incarnation,6.25,Manga (2 vols),May 2013 - Jun 2014
14980,Houkago Shinjuu,6.25,One-shot (? vols),Jan 2012 - Jan 2012
14981,Kimi ni Hana wo,6.25,One-shot (? vols),Mar 2014 - Mar 2014
14982,Shingan no Yuusha,6.25,Manga (? vols),Sep 2017 -
14983,Goreijou Takashima Kiyono wa Hisoka ni Tashinamu.,6.25,Manga (3 vols),Apr 2018 - Jun 2020
14984,Murabito Tensei: Saikyou no Slow Life,6.25,Manga (? vols),Sep 2017 -
14985,Sen no Skill wo Motsu Otoko: Isekai de Shoukanjuu Hajimemashita!,6.25,Manga (? vols),Dec 2018 -
14986,29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,6.25,Manga (? vols),Feb 2019 -
14987,Nanimo Iwanai,6.25,Manga (1 vols),May 2016 - Oct 2016
14988,Midashitai Giya-san to Midarenai Tadamichi,6.25,Manga (2 vols),Dec 2019 - Jul 2020
14989,Ane ga Kensei de Imouto ga Kenja de,6.25,Manga (? vols),Aug 2020 -
14990,Pygmalion,6.25,Manga (3 vols),Oct 2015 - Jun 2017
14991,Ore no 100-wame!!,6.25,Manga (? vols),Jan 2015 - Nov 2015
14992,Tokyo Undead,6.25,Manga (2 vols),Jun 2012 - May 2013
14993,Oshioki Execute,6.25,Manga (? vols),May 2016 -
14994,Kunoichi no Ichi!,6.25,Manga (5 vols),Sep 2016 - Oct 2017
14995,Shigan Kyoushuu,6.25,One-shot (? vols),Nov 2011 - Nov 2011
14996,Lion to Hanayome,6.25,Manga (3 vols),Feb 2014 - Feb 2016
14997,Grimm & Gritty,6.25,Manga (4 vols),Mar 2017 - Nov 2018
14998,Jinmen,6.25,Manga (13 vols),Jul 2016 - Jun 2019
14999,Buchimaru Chaos,6.25,Manga (3 vols),Nov 2016 - Dec 2017
15000,Akane-chan Overdrive,6.25,Manga (2 vols),Mar 1999 - Feb 2000
15001,Gakuen Tengoku,6.25,Manga (8 vols),Oct 2003 - Nov 2005
15002,Aishiatteru Futari,6.25,Manga (1 vols),2002 - Feb 2004
15003,Tsukumo Happy Soul,6.25,Manga (1 vols),May 2004 - Aug 2004
15004,Natsu e no Tobira,6.25,Manga (1 vols),Oct 1975 - Oct 1975
15005,Suki♥Doki,6.25,Manga (1 vols),2007 - 2007
15006,Meimu,6.25,One-shot (? vols),Jul 2008 - Jul 2008
15007,Buzzer Beater,6.24,Manga (4 vols),May 1996 - 1997
15008,Legend of Lemnear,6.24,Manga (3 vols),Sep 1991 - Feb 1992
15009,Benkyou Shinasai!,6.24,Manga (1 vols),2002 - 2002
15010,Eikou no Te,6.24,Manga (2 vols),2000 - 2000
15011,Chekera!,6.24,One-shot (? vols),2002 - 2002
15012,From A Different Dimension,6.24,Manga (1 vols),1989 - 1989
15013,Baby Pink KISS,6.24,Manga (1 vols),2001 - 2001
15014,Tsuki no Yoru,6.24,One-shot (? vols),1993 - 1993
15015,Chic,6.24,Doujinshi (1 vols),-
15016,Virgin Wars,6.24,Manga (2 vols),1998 -
15017,The Fairy and the Hunter,6.24,One-shot (? vols),-
15018,Sakamoto Gakari,6.24,Manga (1 vols),-
15019,Memai,6.24,Manga (1 vols),1997 -
15020,Hotel Harbour View,6.24,Manga (1 vols),1985 - 1985
15021,Yakuza Girl: Blade-jikake no Hanayome,6.24,Manga (2 vols),Jan 2008 - Dec 2008
15022,Ichizude Karen na Ore-sama,6.24,One-shot (? vols),2008 -
15023,Kekkou Kamen,6.24,Manga (5 vols),Aug 1974 - Jan 1978
15024,Yami no Hou e,6.24,One-shot (? vols),Dec 2002 - Dec 2002
15025,Ringo no Asobikata,6.24,One-shot (? vols),Sep 2012 - Sep 2012
15026,Joou-sama no Eshi,6.24,Manga (4 vols),Jul 2014 - Oct 2016
15027,Yuri na Watashi to Akuma na Kanojo(?),6.24,Manga (2 vols),May 2015 - May 2016
15028,Evil Crusher Maya,6.24,Manga (1 vols),Feb 1996 - Mar 1996
15029,Aimane: Akuma na Kanojo wo Produce,6.24,Manga (1 vols),Jan 2012 - Apr 2013
15030,Himitsu Sentai Momoider,6.24,Manga (1 vols),2003 - 2003
15031,Yome ga Loli tte Doo yo!?,6.24,Manga (1 vols),Dec 2010 - May 2011
15032,Tokyo Summer of the Dead,6.24,Manga (4 vols),Feb 2011 - Nov 2012
15033,Bokura no Fushidara,6.24,Manga (2 vols),Sep 2014 - Sep 2015
15034,Kuro-senpai to Kuroyashiki no Yami ni Mayowanai,6.24,Manga (1 vols),Mar 2015 - Jan 2016
15035,Ayuta,6.24,Manga (? vols),Mar 2014 -
15036,Comic Lily Plus,6.24,Manga (2 vols),Apr 2010 - Jun 2010
15037,Sennen Sensou Aigis: Eiyuu no Kizuna,6.24,Manga (5 vols),Feb 2016 - Oct 2018
15038,Ore no Kimochi ga Wakaru ka,6.24,Manga (1 vols),Jan 2016 - May 2016
15039,Hen na Chishiki ni Kuwashii Kanojo Takayukashiki Souko-san,6.24,Manga (5 vols),Jan 2018 - Mar 2020
15040,Level 1 dakedo Unique Skill de Saikyou desu,6.24,Manga (? vols),May 2018 -
15041,Isekaigaeri no Ossan wa Fusei Skill de Fathercon Musume-tachi wo Torotoro ni,6.24,Manga (? vols),Jun 2019 -
15042,Asanami-san to Shindemo Ikitai.,6.24,Manga (1 vols),Sep 2019 - Mar 2020
15043,Kyosei Tensei,6.24,Manga (? vols),Sep 2019 -
15044,Isekai ni Tobasareta Ossan wa Doko e Iku?,6.23,Manga (? vols),Dec 2017 -
15045,Black Gakkou ni Tsutometeshimatta Sensei,6.23,Manga (? vols),Aug 2017 -
15046,Isekai Shoukan wa Nidome desu,6.23,Manga (? vols),Jun 2018 -
15047,Isekai Tensei no Boukensha,6.23,Manga (? vols),Aug 2018 -
15048,Akachan Ryuu no Osewagakari ni Ninmei saremashita,6.23,Manga (2 vols),Sep 2015 - Nov 2016
15049,Bocchi Tenseiki,6.23,Manga (? vols),Oct 2019 -
15050,Koisuru Michiru Ojousama,6.23,Manga (2 vols),Mar 2012 - Apr 2013
15051,Futari no Mirai,6.23,One-shot (? vols),Jul 2008 - Jul 2008
15052,Retort Pouch!,6.23,Manga (7 vols),Apr 2014 - Dec 2018
15053,Ookami-kun to Cinderella,6.23,One-shot (? vols),Oct 2013 - Oct 2013
15054,Ero♥Märchen: Hoshi no Ginka,6.23,Manga (1 vols),Feb 2013 - Feb 2013
15055,Cider to Nakimushi.,6.23,Manga (1 vols),May 2012 - Feb 2014
15056,Prism Palette,6.23,Manga (1 vols),Sep 2001 - Sep 2001
15057,Murikuri,6.23,One-shot (? vols),2002 - 2002
15058,Kagome Kagome,6.23,Manga (3 vols),May 1999 - Jun 2001
15059,Digimon D-Cyber,6.23,Manhua (2 vols),2005 - 2005
15060,Allegro Agitato,6.23,Manga (2 vols),Aug 1999 - Mar 2000
15061,Kessaku Tanpenshuu Vampire,6.23,One-shot (? vols),1990 - 1990
15062,Ame no Furu Basho,6.23,One-shot (? vols),Jul 1994 - Jul 1994
15063,Sense.,6.23,Manga (? vols),Jan 2008 -
15064,S Watari-san to M Mura-kun,6.23,Manga (3 vols),Aug 2015 - Dec 2016
15065,Hydra,6.23,Manga (1 vols),Oct 1997 - Jun 1998
15066,Valkyrie Drive: Bhikkhunism,6.23,Manga (1 vols),Oct 2015 - Apr 2016
15067,Zoo to Issho!,6.23,One-shot (? vols),Jul 2015 - Jul 2015
15068,Ole Golazo,6.23,Manga (2 vols),Nov 2016 - Feb 2017
15069,Ecstas Online,6.23,Manga (2 vols),Aug 2017 - Feb 2019
15070,0 kara Hajimeru Manga Kyoushitsu,6.23,Manga (1 vols),Aug 2009 - Aug 2009
15071,Tennen Kakutou Shoujo Chihiro-chan♥,6.23,Manga (5 vols),Mar 2010 - Oct 2013
15072,F.P. Ageha,6.23,One-shot (? vols),2009 - 2009
15073,Yagyuu Hijouken Samon,6.23,Manga (1 vols),Mar 2007 - Jun 2009
15074,Aki,6.23,Manga (2 vols),Mar 2011 - 2012
15075,Shiro, mata wa Pink,6.23,One-shot (? vols),Dec 2010 - Dec 2010
15076,D.Y.N. Freaks,6.23,Manga (3 vols),Apr 2013 - May 2014
15077,Becchin to Mandara,6.22,Manga (1 vols),Jul 2007 - Sep 2009
15078,Junai Twitter,6.22,Manga (1 vols),2010 -
15079,Coin Laundry no Onna,6.22,Manga (1 vols),Jul 2005 - Oct 2009
15080,Tutor Maid,6.22,One-shot (? vols),2011 - 2011
15081,Koko dake no Himitsu,6.22,One-shot (? vols),Mar 2013 - Mar 2013
15082,Sukumi's!,6.22,Manga (1 vols),Aug 2012 - Apr 2013
15083,Damatte Watashi no Iu Koto Kikinasai!,6.22,One-shot (? vols),May 2013 - May 2013
15084,Shingeki no Kyojin Volume 0,6.22,Manga (1 vols),Jul 2013 - Jul 2013
15085,Office de Animal Love,6.22,Manga (1 vols),-
15086,GetBackers Bangai-hen,6.22,One-shot (? vols),Feb 2009 - Feb 2009
15087,Yankee JK no Ijou na Aijou,6.22,Manga (5 vols),Mar 2018 - Dec 2019
15088,Koukando ga Agaranai,6.22,Manga (1 vols),Feb 2017 - May 2017
15089,Maou Toubatsu shita Ato, Medachitakunai node Guild Master ni Natta,6.22,Manga (? vols),Apr 2019 -
15090,Aishiteimasu, Kyouko-san.,6.22,Manga (? vols),May 2019 -
15091,Hina-chan Change,6.22,Manga (3 vols),Jun 2019 - Jul 2020
15092,Fukushuu Kansuisha no Jinsei Nishuume Isekaitan the Comic,6.22,Manga (? vols),Mar 2019 -
15093,Kanojo Gacha,6.22,Manga (8 vols),May 2019 - Aug 2021
15094,Best Blue,6.22,Manga (3 vols),Jul 2015 - Nov 2015
15095,Madonna wa Glass Case no Naka,6.22,Manga (2 vols),Nov 2014 - Feb 2016
15096,I Am a Hero in Nagasaki,6.22,Manga (1 vols),Mar 2016 - Oct 2016
15097,Junjou→←Haraguro Kareshi,6.22,Manga (1 vols),Jul 2015 - Aug 2015
15098,Poro no Ryuugakuki,6.22,Manga (2 vols),Feb 2017 - Jun 2017
15099,Zeus,6.22,Manga (2 vols),Oct 1997 - Sep 1998
15100,Bishounen no Koi,6.22,Manga (1 vols),-
15101,11th Cat,6.22,Manhwa (5 vols),2002 - 2002
15102,Offered,6.22,Manga (4 vols),Sep 1989 - Aug 1990
15103,Crossing 25;,6.22,Manga (1 vols),2002 - 2002
15104,The Dress,6.22,Manhwa (? vols),-
15105,Senpai Amasugiru H,6.22,Manga (1 vols),2002 - 2002
15106,Sensual Trigger,6.22,Manga (1 vols),2005 - 2005
15107,Icaro,6.22,Manga (2 vols),1996 - 2000
15108,JX's,6.22,Manga (1 vols),-
15109,Propeller Heaven,6.22,Manga (1 vols),Oct 2000 - Aug 2001
15110,Bannou Bunka Neko-Musume,6.22,Manga (1 vols),1990 - 1991
15111,Nusunde Lilith,6.22,Manga (3 vols),Dec 2006 - Feb 2009
15112,Atsuize Tenma!,6.22,Manga (1 vols),Nov 1989 - Apr 1990
15113,Love Capsule,6.22,Manga (1 vols),2007 -
15114,Blust!,6.22,One-shot (? vols),Apr 2009 - Apr 2009
15115,√Paradise,6.22,Manga (2 vols),Jul 1993 - Jul 1994
15116,± Junkie,6.21,Manga (1 vols),Jun 2003 - Sep 2003
15117,Aokushimitama Blue Seed,6.21,Manga (2 vols),Feb 1992 - Jun 1996
15118,Amai♥Jouji,6.21,Manga (1 vols),Oct 2006 - Oct 2006
15119,Goshujinsama ni Amai Ringo no Okashi,6.21,Manga (2 vols),2006 - 2006
15120,Captain Tsubasa Pilot Chapter,6.21,One-shot (? vols),Apr 1980 - Apr 1980
15121,Dororon Enma-kun,6.21,Manga (3 vols),Sep 1973 - Mar 1974
15122,Hime Koibito,6.21,One-shot (? vols),2004 - 2004
15123,Bakudan,6.21,Manga (2 vols),1994 - 1995
15124,Yuki-chan no Baka, Daisuki.,6.21,One-shot (? vols),Oct 2013 - Oct 2013
15125,Gion no Tsugai,6.21,Manga (2 vols),Mar 2015 - Nov 2016
15126,Shinshi na Meets Girl,6.21,Manga (1 vols),2010 - 2010
15127,Damned,6.21,Manga (3 vols),1992 - 1992
15128,SS Sisters,6.21,Manga (5 vols),Feb 2010 - Dec 2012
15129,Twins Game,6.21,Manga (1 vols),Jul 2012 - Jul 2012
15130,Komata-kun to Komata-chan,6.21,Doujinshi (1 vols),Aug 2010 - Aug 2010
15131,Daikousha Nagi,6.21,One-shot (? vols),Feb 2015 - Feb 2015
15132,Choujin Sensen,6.21,Manga (7 vols),Feb 2014 - Jun 2016
15133,Kao ga Suki,6.21,Manga (? vols),Jun 2013 - Jul 2013
15134,Meteor Syndrome,6.21,One-shot (? vols),May 2016 - May 2016
15135,Kuro no Souzou Shoukanshi: Tenseisha no Hangyaku,6.21,Manga (3 vols),Aug 2017 - Apr 2020
15136,Otona no Bouguya-san,6.21,Manga (? vols),Sep 2017 -
15137,Mannen D-Rank no Chuunen Boukensha, Yotta Ikioi de Densetsu no Ken wo Hikkonuku,6.21,Manga (? vols),Sep 2018 -
15138,Asobinin wa Kenja ni Tenshoku Dekiru tte Shittemashita?: Yuusha Party wo Tsuihou sareta Lv99 Doukeshi, "Daikenja" ni Naru,6.21,Manga (? vols),Dec 2018 -
15139,Hazure Skill "Mapping" wo Te ni Shita Shounen wa Saikyou Party to Dungeon ni Idomu,6.21,Manga (3 vols),Sep 2018 - Feb 2021
15140,Ichioku-nen Button wo Renda shita Ore wa, Kizuitara Saikyou ni Natteita: Rakudai Kenshi no Gakuin Musou,6.21,Manga (? vols),Feb 2020 -
15141,Futago Wazurai,6.21,Manga (3 vols),Jan 2020 - Dec 2020
15142,Sono Toki Shuraba ga Ugoita,6.21,Manga (2 vols),Apr 2021 - Feb 2022
15143,Tsuujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka?,6.20,Manga (5 vols),Sep 2017 - Jan 2021
15144,Oniisan no Hikkoshi no Katazuke ga Susumanai,6.20,Manga (? vols),Nov 2017 -
15145,Monster no Goshujinsama,6.20,Manga (? vols),Oct 2017 -
15146,Hitokui Dungeon e Youkoso! The Comic,6.20,Manga (? vols),May 2017 -
15147,Doushitemo Hametsu Shitakunai Akuyaku Reijou ga Gendai Heiki wo Te ni Shita Kekka ga Kore desu,6.20,Manga (? vols),May 2019 -
15148,Koisuru Otome wa Eromanga ni Yume wo Miru,6.20,Manga (2 vols),Aug 2019 - Jul 2020
15149,23-ku Tokyo Majo,6.20,Manga (2 vols),Dec 2019 - Aug 2020
15150,Shijou Saikyou no Mahou Kenshi, F-Rank Boukensha ni Tensei suru: Kensei to Matei, Futatsu no Zense wo Motta Otoko no Eiyuutan,6.20,Manga (? vols),Sep 2019 -
15151,Hazure Aka Madoushi wa Kenja Time ni Musou suru,6.20,Manga (? vols),Sep 2020 -
15152,Isekai no Senshi toshite Kuni ni Manekareta kedo, Kotowatte Heishi kara Hajimeru Koto ni Shita,6.20,Manga (? vols),Mar 2020 -
15153,Switch Witch,6.20,Manga (6 vols),Feb 2014 - Jul 2016
15154,Hi-Fi Cluster,6.20,Manga (3 vols),Sep 2014 - Jan 2015
15155,Dragon Recipe,6.20,Manhwa (2 vols),Dec 2013 - Jul 2014
15156,Tenkuu no Escaflowne,6.20,Manga (8 vols),Dec 1994 - Jan 1998
15157,Maken X Another,6.20,Manga (3 vols),Jan 2000 - Nov 2001
15158,Dendou Darlin',6.20,Manga (1 vols),Apr 2005 - Apr 2005
15159,Yuugeki Uchuu Senkan Nadesico,6.20,Manga (4 vols),Sep 1996 - Feb 1999
15160,Portus,6.20,Manga (1 vols),Jan 2006 - Jan 2006
15161,Shounen Shoujo Romance,6.20,Manga (3 vols),2002 - 2002
15162,Pushu~ke~!! Psyche!,6.20,One-shot (? vols),2007 - 2007
15163,Death God 4,6.20,Manga (2 vols),2007 - 2007
15164,Dororon Enbi-chan,6.20,Manga (1 vols),2000 -
15165,Yellow Heart,6.20,Manga (3 vols),Jan 2001 - Jan 2001
15166,Shibuya de Aimashou,6.20,Manga (1 vols),1991 - 1991
15167,One Missed Call,6.20,Manga (2 vols),2007 - 2007
15168,Blue Eyes,6.20,Doujinshi (1 vols),-
15169,Ordinary±,6.20,Manga (1 vols),May 2002 - Nov 2002
15170,Yururizumu,6.20,Manga (1 vols),Jun 2006 - Nov 2006
15171,Grim Reaper,6.20,Manga (1 vols),Dec 2004 - Dec 2004
15172,When She Touches Me,6.20,One-shot (? vols),1997 - 1997
15173,Gal-sen,6.20,Manga (? vols),Sep 2021 -
15174,Netsuzou TRap,6.20,Manga (6 vols),Nov 2014 - Dec 2017
15175,Kuro Ihon,6.20,Manga (1 vols),Nov 2014 - Jun 2015
15176,Hime no Dameshi,6.20,Manga (3 vols),Dec 2015 - Mar 2017
15177,Kontou Shoujo,6.20,Manga (1 vols),Jun 2011 - Sep 2014
15178,Void,6.20,Manga (1 vols),2010 - Sep 2010
15179,Cecile no Kimochi,6.20,One-shot (? vols),Jun 2006 - Jun 2006
15180,Nanika Mochigattemasu ka,6.20,Manga (5 vols),Nov 2009 - Mar 2015
15181,Haruwaka,6.20,Manga (2 vols),Aug 2010 - Feb 2012
15182,Dokuro no Yakata,6.20,Manga (1 vols),Apr 1995 - Apr 1995
15183,Boku wa Hajikko ga Suki,6.20,Manga (3 vols),Sep 2011 - Feb 2013
15184,Ageha,6.20,Manga (2 vols),Apr 2012 - Jun 2013
15185,Family Complete+,6.20,Manga (1 vols),Mar 2012 - Aug 2013
15186,Hiki,6.19,Manga (1 vols),2007 - 2007
15187,Onnanoko Tokidoki Otokonoko,6.19,Manga (1 vols),2010 - 2010
15188,Sukeban Arashi,6.19,Manga (2 vols),May 1975 - Oct 1975
15189,Juushin Liger,6.19,Manga (2 vols),Mar 1989 - Jan 1990
15190,Kokken,6.19,One-shot (? vols),2011 - 2011
15191,All Nude,6.19,Manga (1 vols),1986 - 1996
15192,Baby Face,6.19,One-shot (? vols),Dec 1991 - Dec 1991
15193,Yuri Yuugi,6.19,One-shot (? vols),Oct 2008 - Oct 2008
15194,Angel/Dust Neo,6.19,Manga (1 vols),Jul 2002 - May 2003
15195,St. Men's Cafe,6.19,One-shot (? vols),-
15196,Kyoko,6.19,Manga (2 vols),1996 - 1996
15197,Okitsune-sama de Chu,6.19,Manga (4 vols),Jun 2003 - Jul 2006
15198,Virgin Hotel,6.19,Manga (3 vols),Oct 2006 - Apr 2008
15199,Child Hazard,6.19,One-shot (? vols),2000 - 2000
15200,ConVeni-N,6.19,Manga (1 vols),Jun 2006 - Dec 2007
15201,Watashi no Kidou,6.19,One-shot (? vols),Sep 2007 - Sep 2007
15202,Vampire Wing,6.19,Manga (? vols),Jan 2009 - Jul 2010
15203,Atashi Hitori de Daijoubu,6.19,One-shot (? vols),2000 - 2000
